dataset,domain,sentence,aspect,category,type,source_dataset,language
SemEval2014,restaurants,"NO more reservations, expensive tips and annoying stuff.",reservations,service,explicit,SemEval2014,English
SemEval2014,restaurants,"NO more reservations, expensive tips and annoying stuff.",tips,,explicit,SemEval2014,English
SemEval2014,restaurants,"NO more reservations, expensive tips and annoying stuff.",stuff,,explicit,SemEval2014,English
SemEval2014,restaurants,Try the sea bass.,sea bass,food,explicit,SemEval2014,English
SemEval2014,restaurants,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,sushi,food,explicit,SemEval2014,English
SemEval2014,restaurants,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,sushi places,price,explicit,SemEval2014,English
SemEval2014,restaurants,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,quality,,explicit,SemEval2014,English
SemEval2014,restaurants,I brought some buddies from CA and they loved it.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"Inside is a little cramped, but to be expected.",,ambience,implicit,SemEval2014,English
SemEval2014,restaurants,Sushi wasn't anything spectacular for the price.,Sushi,price,explicit,SemEval2014,English
SemEval2014,restaurants,Sushi wasn't anything spectacular for the price.,price,food,explicit,SemEval2014,English
SemEval2014,restaurants,"During our meal, the management came over and checked on us and even bought us a round of drinks.",management,service,explicit,SemEval2014,English
SemEval2014,restaurants,"During our meal, the management came over and checked on us and even bought us a round of drinks.",meal,,explicit,SemEval2014,English
SemEval2014,restaurants,"During our meal, the management came over and checked on us and even bought us a round of drinks.",round of drinks,,explicit,SemEval2014,English
SemEval2014,restaurants,"But they don't have a toaster, which is strange.",toaster,service,explicit,SemEval2014,English
SemEval2014,restaurants,"So, for good food i'd recommend it, but not for a fun night out.",food,food,explicit,SemEval2014,English
SemEval2014,restaurants,"So, for good food i'd recommend it, but not for a fun night out.",,ambience,implicit,SemEval2014,English
SemEval2014,restaurants,The menu choices are similar but the taste lacked more flavor than it looked.,taste,food,explicit,SemEval2014,English
SemEval2014,restaurants,The menu choices are similar but the taste lacked more flavor than it looked.,menu choices,,explicit,SemEval2014,English
SemEval2014,restaurants,The menu choices are similar but the taste lacked more flavor than it looked.,flavor,,explicit,SemEval2014,English
SemEval2014,restaurants,A must for all the Dosa lovers.,Dosa,food,explicit,SemEval2014,English
SemEval2014,restaurants,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.",portions,food,explicit,SemEval2014,English
SemEval2014,restaurants,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.",appetizer,,explicit,SemEval2014,English
SemEval2014,restaurants,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.",entree,,explicit,SemEval2014,English
SemEval2014,restaurants,The appetizers are just OK and the main courses were decidedly subpar.,appetizers,food,explicit,SemEval2014,English
SemEval2014,restaurants,The appetizers are just OK and the main courses were decidedly subpar.,main courses,,explicit,SemEval2014,English
SemEval2014,restaurants,Someone else recommended the dessert - we also left that.,dessert,food,explicit,SemEval2014,English
SemEval2014,restaurants,The exotic food is beautifully presented and is a delight in delicious combinations.,exotic food,food,explicit,SemEval2014,English
SemEval2014,restaurants,The staff is very attentive and we can almost always get a table.,staff,service,explicit,SemEval2014,English
SemEval2014,restaurants,The staff is very attentive and we can almost always get a table.,table,,explicit,SemEval2014,English
SemEval2014,restaurants,"If you are a vegetarian, this really isn't a good place to go.",,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"Try the mediterranean salad, it is a true experience for your taste buds!!",mediterranean salad,food,explicit,SemEval2014,English
SemEval2014,restaurants,I'm sure I'll return for a final judgement tho.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"Of course, it is crowded but who cares.",,ambience,implicit,SemEval2014,English
SemEval2014,restaurants,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,I've been there three times and have always had wonderful experiences.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,People are always friendly.,People,service,explicit,SemEval2014,English
SemEval2014,restaurants,The cream cheeses are out of this world and I love that coffee!!,cream cheeses,food,explicit,SemEval2014,English
SemEval2014,restaurants,The cream cheeses are out of this world and I love that coffee!!,coffee,,explicit,SemEval2014,English
SemEval2014,restaurants,"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple.",entrees,food,explicit,SemEval2014,English
SemEval2014,restaurants,"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple.",sides,,explicit,SemEval2014,English
SemEval2014,restaurants,"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple.",drinks,,explicit,SemEval2014,English
SemEval2014,restaurants,hmmm.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,Service was prompt and courteous.,Service,service,explicit,SemEval2014,English
SemEval2014,restaurants,It was not above ordinary and the beef version had cheap (undercooked) beef.,beef version,food,explicit,SemEval2014,English
SemEval2014,restaurants,It was not above ordinary and the beef version had cheap (undercooked) beef.,beef,,explicit,SemEval2014,English
SemEval2014,restaurants,"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great.",decor,ambience,explicit,SemEval2014,English
SemEval2014,restaurants,"It was nice and fresh, but I can't give it high scores on being authentic thai.",thai,food,explicit,SemEval2014,English
SemEval2014,restaurants,"Overall, worht every penny.",,price,implicit,SemEval2014,English
SemEval2014,restaurants,"When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.",,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"Got club soda, filled with ice, no lime.","club soda, filled with ice, no lime",service,explicit,SemEval2014,English
SemEval2014,restaurants,"Only wine and beer are served, but the house varities are actually quite good.",wine,food,explicit,SemEval2014,English
SemEval2014,restaurants,"Only wine and beer are served, but the house varities are actually quite good.",beer,,explicit,SemEval2014,English
SemEval2014,restaurants,"Only wine and beer are served, but the house varities are actually quite good.",house varities,,explicit,SemEval2014,English
SemEval2014,restaurants,"Only wine and beer are served, but the house varities are actually quite good.",served,,explicit,SemEval2014,English
SemEval2014,restaurants,This place must have cost the owners afortune to build.,owners,anecdotes/miscellaneous,explicit,SemEval2014,English
SemEval2014,restaurants,This place must have cost the owners afortune to build.,cost,,explicit,SemEval2014,English
SemEval2014,restaurants,My mouth starts to water merely thinking about the delight that is this restaurant.,,food,implicit,SemEval2014,English
SemEval2014,restaurants,I haven't been to the other locations.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"Oh, and the complimentary pudding dessert was just enough- yummy!",pudding dessert,food,explicit,SemEval2014,English
SemEval2014,restaurants,People dress in suits or evening gowns as well as shirts jeans.,,ambience,implicit,SemEval2014,English
SemEval2014,restaurants,we split a tasty vegetable samosa and the malai tikka wrap.,vegetable samosa,food,explicit,SemEval2014,English
SemEval2014,restaurants,we split a tasty vegetable samosa and the malai tikka wrap.,malai tikka wrap,,explicit,SemEval2014,English
SemEval2014,restaurants,Knowledge of the chef and the waitress are below average.,chef,service,explicit,SemEval2014,English
SemEval2014,restaurants,Knowledge of the chef and the waitress are below average.,waitress,food,explicit,SemEval2014,English
SemEval2014,restaurants,We were walking around the village and went into this place just for some drinks.,drinks,anecdotes/miscellaneous,explicit,SemEval2014,English
SemEval2014,restaurants,Decent wine selection too.,wine selection,food,explicit,SemEval2014,English
SemEval2014,restaurants,Go with a group of friends and you will have a great time.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.",bar,anecdotes/miscellaneous,explicit,SemEval2014,English
SemEval2014,restaurants,"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.",waiting,,explicit,SemEval2014,English
SemEval2014,restaurants,"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.",table,,explicit,SemEval2014,English
SemEval2014,restaurants,I have to say I have never had a disapointing meal here.,meal,food,explicit,SemEval2014,English
SemEval2014,restaurants,It's one of our favorite places to eat in NY.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"The place does get crowded, so I recommend going between 4-5 PM.",,ambience,implicit,SemEval2014,English
SemEval2014,restaurants,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,goat cheese,food,explicit,SemEval2014,English
SemEval2014,restaurants,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,panchetta,,explicit,SemEval2014,English
SemEval2014,restaurants,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,raddichio,,explicit,SemEval2014,English
SemEval2014,restaurants,"Disappointing food, lousy service.",food,food,explicit,SemEval2014,English
SemEval2014,restaurants,"Disappointing food, lousy service.",service,service,explicit,SemEval2014,English
SemEval2014,restaurants,"I'm from sichuan, this is the restaurant I recommend going.",,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,This lovely French-Asian fusion restaurant stands out amongst other great restaurants on Smith Street.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"If you want a casual neighborhood bistro that has great food and excellent service, this is the place.",food,food,explicit,SemEval2014,English
SemEval2014,restaurants,"If you want a casual neighborhood bistro that has great food and excellent service, this is the place.",service,service,explicit,SemEval2014,English
SemEval2014,restaurants,great place to go for a drink too because they have 100 kinds of beer.,kinds of beer,food,explicit,SemEval2014,English
SemEval2014,restaurants,great place to go for a drink too because they have 100 kinds of beer.,drink,,explicit,SemEval2014,English
SemEval2014,restaurants,But this place is a well-oiled machine so they know what they're doing.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"Over price, and small portions .",price,food,explicit,SemEval2014,English
SemEval2014,restaurants,"Over price, and small portions .",portions,price,explicit,SemEval2014,English
SemEval2014,restaurants,"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.",bartender,food,explicit,SemEval2014,English
SemEval2014,restaurants,"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.",champagne,service,explicit,SemEval2014,English
SemEval2014,restaurants,"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.",turnip soup with pureed basil,,explicit,SemEval2014,English
SemEval2014,restaurants,But I'd go back,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,,service,implicit,SemEval2014,English
SemEval2014,restaurants,The food was well prepared and the service impecable.,food,food,explicit,SemEval2014,English
SemEval2014,restaurants,The food was well prepared and the service impecable.,service,service,explicit,SemEval2014,English
SemEval2014,restaurants,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.",dish,food,explicit,SemEval2014,English
SemEval2014,restaurants,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.",Thai spiced curry noodles with shrimp,price,explicit,SemEval2014,English
SemEval2014,restaurants,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.",dish,,explicit,SemEval2014,English
SemEval2014,restaurants,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.",cost,,explicit,SemEval2014,English
SemEval2014,restaurants,"Good, dark atmosphere and the music is a nice touch.",atmosphere,ambience,explicit,SemEval2014,English
SemEval2014,restaurants,"Good, dark atmosphere and the music is a nice touch.",music,,explicit,SemEval2014,English
SemEval2014,restaurants,"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.",portions,food,explicit,SemEval2014,English
SemEval2014,restaurants,"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.",portion,,explicit,SemEval2014,English
SemEval2014,restaurants,"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.",main course,,explicit,SemEval2014,English
SemEval2014,restaurants,But the thai is definitely not great -- bland and indistinguished.,thai,food,explicit,SemEval2014,English
SemEval2014,restaurants,This Thai restaurant is a couple blocks away from Sripraphai (another delicious Thai restaurant).,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"Great for groups, great for a date, great for early brunch or a nightcap.",brunch,ambience,explicit,SemEval2014,English
SemEval2014,restaurants,"Great for groups, great for a date, great for early brunch or a nightcap.",nightcap,,explicit,SemEval2014,English
SemEval2014,restaurants,Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.,,ambience,implicit,SemEval2014,English
SemEval2014,restaurants,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,food suggestions,service,explicit,SemEval2014,English
SemEval2014,restaurants,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,server,,explicit,SemEval2014,English
SemEval2014,restaurants,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,sommelier,,explicit,SemEval2014,English
SemEval2014,restaurants,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,fromager,,explicit,SemEval2014,English
SemEval2014,restaurants,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,wine,,explicit,SemEval2014,English
SemEval2014,restaurants,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,cheese,,explicit,SemEval2014,English
SemEval2014,restaurants,Perhaps the last reviewer (who stated she was treated with attitude) lives in a parallel universe because I have never had anything but a perfect experience at Yasuda.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"That said, I thought Scalini Fedeli was one of the best dining experiences I've EVER had.",,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,Everything about this restaurant was special.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"Because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather.",back garden,ambience,explicit,SemEval2014,English
SemEval2014,restaurants,"Because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather.",reservation,,explicit,SemEval2014,English
SemEval2014,restaurants,Stuffing yourself with Japanese food is a rare thing.,Japanese food,food,explicit,SemEval2014,English
SemEval2014,restaurants,I try my best to give an accurate description of any establishment visited.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,While the food was good (certainly no Il Mulino) the service was horrendous.,food,food,explicit,SemEval2014,English
SemEval2014,restaurants,While the food was good (certainly no Il Mulino) the service was horrendous.,service,service,explicit,SemEval2014,English
SemEval2014,restaurants,It is expensive but well worth the money.,,price,implicit,SemEval2014,English
SemEval2014,restaurants,Service is not what one would expect from a joint in this price category.,Service,service,explicit,SemEval2014,English
SemEval2014,restaurants,Service is not what one would expect from a joint in this price category.,price category,,explicit,SemEval2014,English
SemEval2014,restaurants,Our family never expected such incredible entertainment in a restaurant.,entertainment,ambience,explicit,SemEval2014,English
SemEval2014,restaurants,i would recommend reservations on weekends though.,reservations,anecdotes/miscellaneous,explicit,SemEval2014,English
SemEval2014,restaurants,There are many Thai places in the city but so far Toons is #1.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,Great pizza for lunch place.,pizza,food,explicit,SemEval2014,English
SemEval2014,restaurants,The food was very expensive (we spent $160 for lunch for two) but extremely tasty.,food,food,explicit,SemEval2014,English
SemEval2014,restaurants,The food was very expensive (we spent $160 for lunch for two) but extremely tasty.,lunch,price,explicit,SemEval2014,English
SemEval2014,restaurants,I don't think I would go again.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,We were a group of 8 and well seved.,seved,service,explicit,SemEval2014,English
SemEval2014,restaurants,We were a group of 8 and well seved.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,And that's no mean feat...,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,I often go there to eat with my family.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,I wish they would change back to what it was before.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",signs,food,explicit,SemEval2014,English
SemEval2014,restaurants,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",specials menus,service,explicit,SemEval2014,English
SemEval2014,restaurants,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",food,ambience,explicit,SemEval2014,English
SemEval2014,restaurants,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",waitstaff,,explicit,SemEval2014,English
SemEval2014,restaurants,NO PIZZA 33 for me!,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken.",scallop roll,food,explicit,SemEval2014,English
SemEval2014,restaurants,"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken.",sesame chicken,,explicit,SemEval2014,English
SemEval2014,restaurants,"I'm no food critic, but I'd like to think I have a tiny bit of experience under my belt having lived in NY for the last 11 years.",food,anecdotes/miscellaneous,explicit,SemEval2014,English
SemEval2014,restaurants,I noted it was crossed off on the bill.,bill,anecdotes/miscellaneous,explicit,SemEval2014,English
SemEval2014,restaurants,"Needless to say, I'm never going back and you should be wary too.",,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,Best dish is nori-wrapped tuna.,nori-wrapped tuna,food,explicit,SemEval2014,English
SemEval2014,restaurants,Best dish is nori-wrapped tuna.,dish,,explicit,SemEval2014,English
SemEval2014,restaurants,The food was absolutely amazing!!,food,food,explicit,SemEval2014,English
SemEval2014,restaurants,Some servers make you feel like they are doing you a favor to bring you the food.,servers,service,explicit,SemEval2014,English
SemEval2014,restaurants,Some servers make you feel like they are doing you a favor to bring you the food.,food,,explicit,SemEval2014,English
SemEval2014,restaurants,"An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing.",fast food,food,explicit,SemEval2014,English
SemEval2014,restaurants,"An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing.",food,anecdotes/miscellaneous,explicit,SemEval2014,English
SemEval2014,restaurants,Mermaid Inn is an overall good restaurant with really good seafood.,seafood,anecdotes/miscellaneous,explicit,SemEval2014,English
SemEval2014,restaurants,Mermaid Inn is an overall good restaurant with really good seafood.,,food,implicit,SemEval2014,English
SemEval2014,restaurants,I work around the corner and tried it with a colleague for the first time.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,I went here with my boyfriend and another couple.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,The staff is also attentive and friendly.,staff,service,explicit,SemEval2014,English
SemEval2014,restaurants,The all you can eat deal is truly amazing here.,all you can eat deal,price,explicit,SemEval2014,English
SemEval2014,restaurants,"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",dish,food,explicit,SemEval2014,English
SemEval2014,restaurants,"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",taste,price,explicit,SemEval2014,English
SemEval2014,restaurants,"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",dishes,,explicit,SemEval2014,English
SemEval2014,restaurants,"This is definitely a place that provides the best experience, though, to both A-listers and people walking in off the street.",,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,meat patties in steamed buns,food,explicit,SemEval2014,English
SemEval2014,restaurants,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,,price,implicit,SemEval2014,English
SemEval2014,restaurants,first it took us a long time to find the place.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,All of the pizzas are terrific and the price is even better!,pizzas,food,explicit,SemEval2014,English
SemEval2014,restaurants,All of the pizzas are terrific and the price is even better!,price,price,explicit,SemEval2014,English
SemEval2014,restaurants,"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine.",FOOD,food,explicit,SemEval2014,English
SemEval2014,restaurants,"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine.",Ambiance,ambience,explicit,SemEval2014,English
SemEval2014,restaurants,The food was good too.,food,food,explicit,SemEval2014,English
SemEval2014,restaurants,"We have tried every Thai restaurant between Atlantic Avenue and 4th Streets, and Joya is the best.",,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.",waiter,service,explicit,SemEval2014,English
SemEval2014,restaurants,The dining room is quietly elegant with no music to shout over -- how refreshing!,dining room,ambience,explicit,SemEval2014,English
SemEval2014,restaurants,The dining room is quietly elegant with no music to shout over -- how refreshing!,music,,explicit,SemEval2014,English
SemEval2014,restaurants,"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US.",sushi,food,explicit,SemEval2014,English
SemEval2014,restaurants,"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US.",fish,,explicit,SemEval2014,English
SemEval2014,restaurants,I am a die hard peep lover.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"Once you become a regular, you are treated as one.",,service,implicit,SemEval2014,English
SemEval2014,restaurants,The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,menu,food,explicit,SemEval2014,English
SemEval2014,restaurants,The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,variety of dishes,,explicit,SemEval2014,English
SemEval2014,restaurants,The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,seafood,,explicit,SemEval2014,English
SemEval2014,restaurants,Everyone treats you like you were part of the family.,,service,implicit,SemEval2014,English
SemEval2014,restaurants,The white bean brushetta to start was incredible and the pasta was phenomenal.,white bean brushetta,food,explicit,SemEval2014,English
SemEval2014,restaurants,The white bean brushetta to start was incredible and the pasta was phenomenal.,pasta,,explicit,SemEval2014,English
SemEval2014,restaurants,The rest of the menu is limited by everything is good eats.,menu,food,explicit,SemEval2014,English
SemEval2014,restaurants,The rest of the menu is limited by everything is good eats.,eats,,explicit,SemEval2014,English
SemEval2014,restaurants,The menu is nothing like the one on the website.,menu,food,explicit,SemEval2014,English
SemEval2014,restaurants,"Great food, great lay out and awesome service.",food,food,explicit,SemEval2014,English
SemEval2014,restaurants,"Great food, great lay out and awesome service.",lay out,service,explicit,SemEval2014,English
SemEval2014,restaurants,"Great food, great lay out and awesome service.",service,ambience,explicit,SemEval2014,English
SemEval2014,restaurants,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,service,explicit,SemEval2014,English
SemEval2014,restaurants,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,lotus leaf wrapped rice,,explicit,SemEval2014,English
SemEval2014,restaurants,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,rice,,explicit,SemEval2014,English
SemEval2014,restaurants,SEA has become so popular that they've let it go to their heads.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,We walked in on a Wednesday night and were seated promptly.,seated,service,explicit,SemEval2014,English
SemEval2014,restaurants,Chennai Garden is my favorite Indian restaurant in the city.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",wait staff,service,explicit,SemEval2014,English
SemEval2014,restaurants,Oh yeah ever on the west side try there sister resturant Arties Cafe.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,(Besides that there should be more restaurants like it around the city).,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,My roommate and I LOVE this place.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"The waitstaff are all very busy, it's not outstanding service, but I've never been dealt with rudely.",waitstaff,service,explicit,SemEval2014,English
SemEval2014,restaurants,"The waitstaff are all very busy, it's not outstanding service, but I've never been dealt with rudely.",service,,explicit,SemEval2014,English
SemEval2014,restaurants,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,food,food,explicit,SemEval2014,English
SemEval2014,restaurants,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,feel,ambience,explicit,SemEval2014,English
SemEval2014,restaurants,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,taste,,explicit,SemEval2014,English
SemEval2014,restaurants,Not worth it.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"In the evening, this place attracted a well dressed, with it, NY crowd.",,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"They have it all -- great price, food, and service.",price,food,explicit,SemEval2014,English
SemEval2014,restaurants,"They have it all -- great price, food, and service.",food,service,explicit,SemEval2014,English
SemEval2014,restaurants,"They have it all -- great price, food, and service.",service,price,explicit,SemEval2014,English
SemEval2014,restaurants,"So close, but not good enough.",,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,This was on a Tuesday night.,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,Its also a bit of a hassle to get to without a car (I happen to live in Inwood).,,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"The flavors are great, and the menu is extensive.",flavors,food,explicit,SemEval2014,English
SemEval2014,restaurants,"The flavors are great, and the menu is extensive.",menu,,explicit,SemEval2014,English
SemEval2014,restaurants,"The food was amazing, the service was so attentive and personable, and how about that ambience!",food,food,explicit,SemEval2014,English
SemEval2014,restaurants,"The food was amazing, the service was so attentive and personable, and how about that ambience!",service,service,explicit,SemEval2014,English
SemEval2014,restaurants,"The food was amazing, the service was so attentive and personable, and how about that ambience!",ambience,ambience,explicit,SemEval2014,English
SemEval2014,restaurants,"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there.",interior,ambience,explicit,SemEval2014,English
SemEval2014,restaurants,"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there.",place,,explicit,SemEval2014,English
SemEval2014,restaurants,The food has been consistant for years and it never lets you down.,food,food,explicit,SemEval2014,English
SemEval2014,restaurants,I found the variety of the sashimi plate to be satisfying - fresh and yummy.,sashimi plate,food,explicit,SemEval2014,English
SemEval2014,restaurants,"And forget what you read under me, the atmosphere isn't that bad either.",atmosphere,ambience,explicit,SemEval2014,English
SemEval2014,restaurants,"Don't waste your time, or money!!",,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"They don't concern much of customer's health, just want to make money.",,anecdotes/miscellaneous,implicit,SemEval2014,English
SemEval2014,restaurants,"We couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down.",waitress,service,explicit,SemEval2014,English
SemEval2014,restaurants,"We couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down.",servants,,explicit,SemEval2014,English
SemEval2014,restaurants,sometimes i get good food and ok service.,food,food,explicit,SemEval2014,English
SemEval2014,restaurants,sometimes i get good food and ok service.,service,service,explicit,SemEval2014,English
